,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
235,DETECTIVE KEITH L WILLIAMS PARK,QUEENS       ,7.683,ONE ACRE OR LARGER,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
236,FLUSHING FIELDS,QUEENS       ,7.671,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
237,PALMER INLET,BRONX        ,7.49,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,MIDLAND FIELD,STATEN ISLAND,7.463,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,SCHMUL PARK,STATEN ISLAND,7.395,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,BRIDGE PARK BRONX,BRONX        ,7.156,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,BEACH 30TH STREET PLAYGROUND,QUEENS       ,7.122,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,BROWER PARK,BROOKLYN     ,7.047,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,3.0,0.0,5.0
243,JOYCE KILMER PARK,BRONX        ,6.882,ONE ACRE OR LARGER,0.0,0.0,9.0,2.0,0.0,3.0,0.0,14.0
244,MARIA HERNANDEZ PARK,BROOKLYN     ,6.873,ONE ACRE OR LARGER,0.0,0.0,4.0,2.0,0.0,2.0,0.0,8.0
245,THE HIGH LINE,MANHATTAN    ,6.73,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
246,FRIENDS FIELD,BROOKLYN     ,6.7,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
247,LINDOWER PARK,BROOKLYN     ,6.7,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,J. HOOD WRIGHT PARK,MANHATTAN    ,6.699,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
249,WNYC TRANSMITTER PARK,BROOKLYN     ,6.611,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
250,SPUYTEN DUYVIL SHOREFRONT PARK,BRONX        ,6.6,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,PARK AVENUE MALLS,MANHATTAN    ,6.593,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,WESTWOOD PARK,STATEN ISLAND,6.563,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,UNION SQUARE PARK,MANHATTAN    ,6.51,ONE ACRE OR LARGER,0.0,0.0,4.0,7.0,1.0,24.0,0.0,36.0
254,CONCRETE PLANT PARK,BRONX        ,6.438,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
255,COL. YOUNG PLAYGROUND,MANHATTAN    ,6.423,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
256,BRADYS POND PARK,STATEN ISLAND,6.402,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,COOPER PARK,BROOKLYN     ,6.401,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
258,GRAVESEND PARK,BROOKLYN     ,6.379,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,DR. CHARLES R. DREW PARK,QUEENS       ,6.336,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,TRINITY PARK,BROOKLYN     ,6.3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,MADISON SQUARE PARK,MANHATTAN    ,6.234,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,7.0,0.0,9.0
262,ELMHURST PARK,QUEENS       ,6.219,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,FORT HAMILTON ATHLETIC FIELD,BROOKLYN     ,6.194,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,AMBROSINI FIELD,BRONX        ,6.1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,CLEARVIEW PARK,QUEENS       ,6.05,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,RALPH DEMARCO PARK,QUEENS       ,6.03,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,WINGATE PARK,BROOKLYN     ,5.888,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
268,UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,STATEN ISLAND,5.848,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,DE WITT CLINTON PARK,MANHATTAN    ,5.829,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,UNNAMED PARK ON BOUNDARY AVENUE,STATEN ISLAND,5.765,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,VAN VOORHEES PARK,BROOKLYN     ,5.739,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,HALLETS COVE PLAYGROUND,QUEENS       ,5.7,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,MCKINLEY PARK,BROOKLYN     ,5.655,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
274,SOUTHERN FIELDS,QUEENS       ,5.593,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,DEVOE PARK,BRONX        ,5.44,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0
276,ST. MICHAEL'S PLAYGROUND,QUEENS       ,5.43,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,KENNEDY PLAYGROUND,QUEENS       ,5.4,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
278,MAFERA PARK,QUEENS       ,5.4,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,SEAGIRT AVE WETLANDS,QUEENS       ,5.323,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,JOHN PAUL JONES PARK,BROOKLYN     ,5.317,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,WALKER PARK,STATEN ISLAND,5.278,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,OLD PLACE CREEK PARK,STATEN ISLAND,5.233,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,HOOVER - MANTON PLAYGROUNDS,QUEENS       ,5.2,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,GEN. DOUGLAS MACARTHUR PARK,STATEN ISLAND,5.165,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,GROVER CLEVELAND PLAYGROUND,QUEENS       ,5.1,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0
286,POLICE OFFICER EDWARD BYRNE PARK,QUEENS       ,4.966,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
287,CYPRESS HILLS PLAYGROUND,BROOKLYN     ,4.947,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,SETH LOW PLAYGROUND/ BEALIN SQUARE,BROOKLYN     ,4.945,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
289,KELLY PARK,BROOKLYN     ,4.896,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
290,SOCRATES SCULPTURE PARK,QUEENS       ,4.893,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,BEACH 9 PLAYGROUND,QUEENS       ,4.863,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,SOUTH BEACH WETLANDS,STATEN ISLAND,4.794,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,NAPLES PLAYGROUND,STATEN ISLAND,4.784,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,RAOUL WALLENBERG FOREST,BRONX        ,4.73,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,WEST HARLEM PIERS,MANHATTAN    ,4.712,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,SPORTS PARK,STATEN ISLAND,4.647,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,WASHINGTON'S WALK,BRONX        ,4.637,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,CAMBRIA PLAYGROUND,QUEENS       ,4.635,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
299,MARCONI PARK,QUEENS       ,4.635,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,VALENTINO PIER,BROOKLYN     ,4.525,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,GRANITEVILLE QUARRY PARK,STATEN ISLAND,4.465,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,MONTBELLIER PARK,QUEENS       ,4.427,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
303,QUARRY BALLFIELDS,BRONX        ,4.417,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
304,RICHMAN (ECHO) PARK,BRONX        ,4.385,ONE ACRE OR LARGER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
305,JEROME PARK,BRONX        ,4.359,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,CORLEARS HOOK PARK,MANHATTAN    ,4.355,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
307,"PHIL ""SCOOTER"" RIZZUTO PARK",QUEENS       ,4.353,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
308,ASPHALT GREEN,MANHATTAN    ,4.35,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
309,FABER POOL AND PARK,STATEN ISLAND,4.339,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
310,MACHATE CIRCLE,BROOKLYN     ,4.32,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,HAMILTON FISH PARK,MANHATTAN    ,4.3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
312,TIFFANY STREET PIER,BRONX        ,4.231,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,KINGDOM POND PARK,STATEN ISLAND,4.22,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,COLUMBUS PARK BROOKLYN,BROOKLYN     ,4.14,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,STAPLETON PLAYGROUND,STATEN ISLAND,4.096,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
316,STERNBERG PARK,BROOKLYN     ,4.044,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
317,COLUCCI PLAYGROUND,BRONX        ,4.0,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
318,NORTHERLEIGH PARK,STATEN ISLAND,3.955,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,STUYVESANT SQUARE,MANHATTAN    ,3.928,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
320,LAST CHANCE POND PARK,STATEN ISLAND,3.903,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,FORDHAM LANDING PLAYGROUND,BRONX        ,3.9,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,CHELSEA PARK,MANHATTAN    ,3.9,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
323,NORTH 5TH STREET PIER AND PARK,BROOKLYN     ,3.882,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,HAGGERTY PARK,QUEENS       ,3.867,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,JACOB H. SCHIFF PLAYGROUND,MANHATTAN    ,3.852,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
326,GRANT PARK,BRONX        ,3.85,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
327,EAST ELMHURST PLAYGROUND,QUEENS       ,3.827,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,JOSEPH AUSTIN PLAYGROUND,QUEENS       ,3.814,ONE ACRE OR LARGER,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
329,UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,QUEENS       ,3.809,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,LINCOLN CENTER PLAZA,MANHATTAN    ,3.8,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,INGRAM WOODS,STATEN ISLAND,3.77,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,FARM PLAYGROUND,QUEENS       ,3.757,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,HINTON PARK,QUEENS       ,3.735,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
334,LOUIS PASTEUR PARK,QUEENS       ,3.673,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,WHITEY FORD FIELD,QUEENS       ,3.622,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,POMONOK PLAYGROUND,QUEENS       ,3.596,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,CLAWSON PLAYGROUND,STATEN ISLAND,3.593,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,BENNETT REST,MANHATTAN    ,3.567,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,GOVERNOR SMITH PLAYGROUND,BRONX        ,3.564,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,PAERDEGAT PARK,BROOKLYN     ,3.56,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
341,AMERSFORT PARK,BROOKLYN     ,3.557,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
342,CITY LINE PARK,BROOKLYN     ,3.552,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
343,BAILEY PLAYGROUND,BRONX        ,3.533,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,NAUTILUS PLAYGROUND QUEENS,QUEENS       ,3.52,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,VINMONT VETERAN PARK,BRONX        ,3.5,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
346,MCDONALD PLAYGROUND BROOKLYN,BROOKLYN     ,3.485,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
347,THE OLDE TOWNE OF FLUSHING BURIAL GROUND,QUEENS       ,3.474,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,WEGENER PARK,STATEN ISLAND,3.464,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET,QUEENS       ,3.43,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,JULIO CARBALLO FIELDS,BRONX        ,3.428,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,GRADY PLAYGROUND,BROOKLYN     ,3.403,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,CO-OP CITY FIELD,BRONX        ,3.4,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,BREININGER PARK,QUEENS       ,3.4,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,ST. MICHAEL'S PARK,QUEENS       ,3.4,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,GREENWOOD PLAYGROUND,BROOKLYN     ,3.39,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,ST. ANDREW'S PLAYGROUND,BROOKLYN     ,3.38,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
357,SEWARD PARK,MANHATTAN    ,3.361,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
358,BEHAGEN PLAYGROUND,BRONX        ,3.348,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,DUGAN PLAYGROUND,STATEN ISLAND,3.333,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,EVERGREEN PARK,QUEENS       ,3.32,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0
361,JOHN JAY PARK,MANHATTAN    ,3.312,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
362,UNIVERSITY WOODS,BRONX        ,3.306,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,WATSON GLEASON PLAYGROUND,BRONX        ,3.301,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
364,TOTTENVILLE POOL,STATEN ISLAND,3.259,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,VITO LOCASCIO FIELD,QUEENS       ,3.258,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,CALLAHAN-KELLY PLAYGROUND,BROOKLYN     ,3.253,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,JUDGE MOSES WEINSTEIN PLAYGROUND,QUEENS       ,3.25,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,COLUMBUS PARK AT MANHATTAN,MANHATTAN    ,3.233,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
369,GREENCROFT PLAYGROUND,STATEN ISLAND,3.23,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,BILL BROWN PLAYGROUND,BROOKLYN     ,3.214,ONE ACRE OR LARGER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
371,SARATOGA PARK,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
372,SCARANGELLA PARK,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,NOBLE PLAYGROUND,BRONX        ,3.21,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
374,JAMAICA PLAYGROUND,QUEENS       ,3.21,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,MARCY PLAYGROUND,BROOKLYN     ,3.201,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
376,LYONS POOL,STATEN ISLAND,3.195,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,WAYANDA PARK,QUEENS       ,3.17,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,AMERICAN VETERANS MEMORIAL PIER,BROOKLYN     ,3.169,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,HOLCOMBE RUCKER PARK,MANHATTAN    ,3.125,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
380,JESSE OWENS PLAYGROUND,BROOKLYN     ,3.1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,EAST RIVER WALK,MANHATTAN    ,3.089,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,PARK OF THE AMERICAS,QUEENS       ,3.076,ONE ACRE OR LARGER,0.0,0.0,2.0,1.0,0.0,3.0,0.0,6.0
383,BROOKLYN HEIGHTS PROMENADE,BROOKLYN     ,3.035,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,J.J. BYRNE PLAYGROUND,BROOKLYN     ,3.03,ONE ACRE OR LARGER,0.0,0.0,1.0,2.0,1.0,1.0,0.0,5.0
385,HERO PARK,STATEN ISLAND,3.024,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,NOSTRAND PLAYGROUND,BROOKLYN     ,3.023,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
387,FORT INDEPENDENCE PLAYGROUND,BRONX        ,3.02,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,BROWNSVILLE PLAYGROUND,BROOKLYN     ,3.017,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
389,GRANDVIEW PLAYGROUND,STATEN ISLAND,3.014,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,LAWRENCE VIRGILIO PLAYGROUND,QUEENS       ,3.009,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,JACOB JOFFE FIELDS,BROOKLYN     ,2.984,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,BROOKLYN     ,2.982,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,UTOPIA PLAYGROUND,QUEENS       ,2.98,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,BATH BEACH PARK,BROOKLYN     ,2.964,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
395,GLEN OAKS OVAL,QUEENS       ,2.948,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,MERRIAM PLAYGROUND,BRONX        ,2.944,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,POSEIDON PLAYGROUND,BROOKLYN     ,2.944,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,ROBERT E. VENABLE PARK,BROOKLYN     ,2.939,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
399,LEFFERTS PLAYGROUND,QUEENS       ,2.937,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,WALT WHITMAN PARK,BROOKLYN     ,2.913,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,WESTERLEIGH PARK,STATEN ISLAND,2.889,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,PETERS FIELD,QUEENS       ,2.872,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,DELPHIN H. GREENE PLAYGROUND,QUEENS       ,2.861,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,HOFFMAN PARK,QUEENS       ,2.857,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
405,MARKHAM PLAYGROUND,STATEN ISLAND,2.836,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,SPERANDEO BROTHERS PLAYGROUND,BROOKLYN     ,2.799,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,BROOKLYN     ,2.783,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
408,IRVING SQUARE PARK,BROOKLYN     ,2.76,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,ST. VARTAN PARK,MANHATTAN    ,2.759,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
410,RAVENSWOOD PLAYGROUND,QUEENS       ,2.758,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,GORMAN PLAYGROUND,QUEENS       ,2.755,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,LOUIS CUVILLIER PARK,MANHATTAN    ,2.752,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,GRACE PLAYGROUND,BROOKLYN     ,2.744,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
414,GREEN CENTRAL KNOLL,BROOKLYN     ,2.741,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,DETECTIVE WILLIAM T. GUNN PARK,QUEENS       ,2.719,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,HOLY COW PLAYGROUND,QUEENS       ,2.7,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
