,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
104,BAYSWATER PARK,QUEENS       ,40.07,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,DEERE PARK,STATEN ISLAND,39.779,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,PARADE GROUND,BROOKLYN     ,39.5,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
107,CLAREMONT PARK,BRONX        ,38.536,ONE ACRE OR LARGER,1.0,0.0,13.0,2.0,0.0,3.0,0.0,19.0
108,BROAD CHANNEL WETLANDS,QUEENS       ,37.95,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,CONEY ISLAND BOAT BASIN,BROOKLYN     ,36.81,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,BUNKER PONDS PARK,STATEN ISLAND,36.691,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,SETON FALLS PARK,BRONX        ,35.771,ONE ACRE OR LARGER,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
112,MCCARREN PARK,BROOKLYN     ,35.713,ONE ACRE OR LARGER,0.0,1.0,3.0,1.0,0.0,11.0,0.0,16.0
113,ST. MARY'S PARK BRONX,BRONX        ,35.311,ONE ACRE OR LARGER,0.0,0.0,11.0,4.0,0.0,1.0,0.0,16.0
114,SHOOTERS ISLAND,STATEN ISLAND,34.689,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,NORTH BROTHER ISLAND,BRONX        ,30.395,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,FORT GREENE PARK,BROOKLYN     ,30.168,ONE ACRE OR LARGER,0.0,0.0,2.0,2.0,0.0,5.0,0.0,9.0
117,BATTERY PARK CITY,MANHATTAN    ,29.99,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
118,MORNINGSIDE PARK,MANHATTAN    ,29.888,ONE ACRE OR LARGER,0.0,0.0,9.0,2.0,0.0,2.0,0.0,13.0
119,MACNEIL PARK,QUEENS       ,28.87,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
120,ALLEY ATHLETIC PLAYGROUND,QUEENS       ,27.531,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,VERNAM BARBADOES PENINSULA,QUEENS       ,27.484,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,COLLEGE POINT FIELDS,QUEENS       ,26.83,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,KAISER PARK,BROOKLYN     ,26.257,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
124,SUNSET PARK,BROOKLYN     ,24.498,ONE ACRE OR LARGER,0.0,0.0,5.0,3.0,1.0,5.0,0.0,14.0
125,OWL'S HEAD PARK,BROOKLYN     ,24.218,ONE ACRE OR LARGER,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
126,SPRINGFIELD PARK,QUEENS       ,23.543,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,RECREATIONAL AREA,MANHATTAN    ,23.093,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,KING FISHER PARK,STATEN ISLAND,23.01,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,SIEDENBURG PARK,STATEN ISLAND,22.882,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,ST. NICHOLAS PARK,MANHATTAN    ,22.74,ONE ACRE OR LARGER,0.0,0.0,4.0,3.0,0.0,4.0,0.0,11.0
131,SOUTH BROTHER ISLAND,BRONX        ,22.16,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,LOCUST POINT MARINA,BRONX        ,22.07,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,BATTERY PARK,MANHATTAN    ,21.88,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0
134,BROOKLYN BRIDGE PARK,BROOKLYN     ,21.185,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,14.0,0.0,15.0
135,ASSER LEVY PARK,BROOKLYN     ,21.039,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
136,SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.907,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,WAVE HILL,BRONX        ,20.867,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,QUEENSBRIDGE PARK,QUEENS       ,20.34,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,MARCUS GARVEY PARK,MANHATTAN    ,20.165,ONE ACRE OR LARGER,0.0,1.0,5.0,3.0,0.0,1.0,0.0,10.0
